Name,Price,Odds,Launch Date,Original Winning Tickets,Remaining Winning Tickets,Estimated Original Tickets,Estimated Remaining Tickets,EV,URL
full of 5000s,20,1:4.50,11/04/2025,181597,149307,817187,671882,5.11,https://www.mslottery.com/instantgames/full-of-5000s/
fun 5s,5,1:0.00,04/02/2024,320691,71321,0,0,5.00,https://www.mslottery.com/instantgames/fun-5s/
colossal cash,20,1:3.50,02/04/2025,448868,164649,1571038,576272,4.37,https://www.mslottery.com/instantgames/colossal-cash/
500000 extreme cash,20,1:3.45,06/03/2025,364668,178579,1258105,616098,4.22,https://www.mslottery.com/instantgames/500000-extreme-cash/
10000 payout,10,1:3.83,12/06/2022,314709,9588,1205335,36722,3.54,https://www.mslottery.com/instantgames/10000-payout/
100 million extravaganza,20,1:3.40,03/02/2021,2214269,81662,7528515,277651,3.40,https://www.mslottery.com/instantgames/100-million-extravaganza/
spectacular riches,10,1:4.59,04/01/2025,191610,40233,879490,184669,2.43,https://www.mslottery.com/instantgames/spectacular-riches/
elvis,5,1:4.24,05/24/2021,465528,33704,1973839,142905,2.02,https://www.mslottery.com/instantgames/elvis/
home run riches,2,1:0.00,04/02/2024,348362,163377,0,0,2.00,https://www.mslottery.com/instantgames/home-run-riches/
50x the money,10,1:3.59,03/04/2025,314721,67546,1129848,242490,1.88,https://www.mslottery.com/instantgames/50x-the-money/
wild cherry,10,1:3.99,09/10/2025,220918,97114,881463,387485,1.81,https://www.mslottery.com/instantgames/wild-cherry/
500 loaded,5,1:4.12,08/29/2025,250434,83925,1031788,345771,1.63,https://www.mslottery.com/instantgames/500-loaded/
super cashword,5,1:4.07,12/03/2024,278484,63274,1133430,257525,1.53,https://www.mslottery.com/instantgames/super-cashword/
hit it big,5,1:4.42,12/06/2022,385623,44267,1704454,195660,1.50,https://www.mslottery.com/instantgames/hit-it-big/
20x the money,5,1:4.03,03/04/2025,371878,25159,1498668,101391,1.46,https://www.mslottery.com/instantgames/20x-the-money/
merry multiplier,5,1:4.05,11/04/2025,148921,105411,603130,426915,1.39,https://www.mslottery.com/instantgames/merry-multiplier/
cruisin the coast ii,5,1:4.79,09/01/2023,286324,175994,1371492,843011,1.36,https://www.mslottery.com/instantgames/cruisin-the-coast-ii/
break the bank 2,5,1:4.01,08/05/2025,256110,105354,1027001,422470,1.33,https://www.mslottery.com/instantgames/break-the-bank-2/
cash money 2,5,1:4.04,10/07/2025,279326,178803,1128477,722364,1.33,https://www.mslottery.com/instantgames/cash-money-2/
5x the cash 2,5,1:3.94,07/01/2025,343084,47765,1351751,188194,1.33,https://www.mslottery.com/instantgames/5x-the-cash-2/
wild money,5,1:4.02,10/01/2024,344181,21812,1383608,87684,1.32,https://www.mslottery.com/instantgames/wild-money/
cahtastic,5,1:4.05,02/06/2024,341680,33875,1383804,137194,1.30,https://www.mslottery.com/instantgames/cahtastic/
stacks of cash,5,1:3.82,01/07/2025,362270,81579,1383871,311632,1.29,https://www.mslottery.com/instantgames/stacks-of-cash/
